team,confederation,wc_year,participation_status,group_or_pool,final_stage_reached,matches_played,wins,draws,losses,goals_scored,goals_conceded,goal_difference,points_earned,host_nation,wc_titles_before_tournament,consecutive_appearances,elo_rating_approx,fifa_ranking,notes
France,UEFA,1938,qualified,,Quarter-finals,2,1,0,1,3,3,0,2,Yes,0,2,1730,N/A,
Cuba,CONCACAF,1938,qualified,,Quarter-finals,3,1,2,0,5,12,-7,4,No,0,1,1450,N/A,
Uruguay,CONMEBOL,1950,qualified,,Winner,4,3,1,0,15,5,10,7,No,1,1,1990,N/A,No knockout final - round robin
Brazil,CONMEBOL,1950,qualified,,Runner-up,6,4,1,1,22,6,16,9,Yes,0,4,1900,N/A,Maracanazo
Sweden,UEFA,1950,qualified,,Third place,4,2,1,1,7,7,0,5,No,0,6,1770,N/A,
Spain,UEFA,1950,qualified,,Fourth place,4,3,0,1,10,5,5,6,No,0,2,1820,N/A,
Yugoslavia,UEFA,1950,qualified,,Group stage,3,2,0,1,7,3,4,4,No,0,2,1780,N/A,
Switzerland,UEFA,1950,qualified,,Group stage,3,2,0,1,8,9,-1,4,No,0,3,1730,N/A,
England,UEFA,1950,qualified,,Group stage,3,1,0,2,2,2,0,2,No,0,1,1800,N/A,First WC; famous loss to USA
Mexico,CONCACAF,1950,qualified,,Group stage,3,0,0,3,2,10,-8,0,No,0,2,1520,N/A,
West Germany,UEFA,1954,qualified,,Winner,6,4,1,1,25,14,11,9,No,0,1,1900,N/A,Miracle of Bern
Hungary,UEFA,1954,qualified,,Runner-up,5,4,0,1,27,8,19,8,No,0,5,1930,N/A,Golden Team; only WC loss
Austria,UEFA,1954,qualified,,Third place,5,4,0,1,17,12,5,8,No,0,4,1850,N/A,
Uruguay,CONMEBOL,1954,qualified,,Fourth place,5,3,0,2,15,13,2,6,No,2,2,1940,N/A,
Brazil,CONMEBOL,1954,qualified,,Quarter-finals,3,2,0,1,8,5,3,4,No,0,6,1890,N/A,
Yugoslavia,UEFA,1954,qualified,,Quarter-finals,3,2,0,1,4,5,-1,4,No,0,3,1780,N/A,
Switzerland,UEFA,1954,qualified,,Quarter-finals,4,2,0,2,11,11,0,4,Yes,0,4,1740,N/A,
England,UEFA,1954,qualified,,Quarter-finals,3,1,1,1,8,9,-1,3,No,0,2,1820,N/A,
Brazil,CONMEBOL,1958,qualified,,Winner,6,5,1,0,16,4,12,11,No,0,7,1950,N/A,Pelé era begins; won in Sweden
Sweden,UEFA,1958,qualified,,Runner-up,6,4,1,1,14,10,4,9,Yes,0,5,1810,N/A,
France,UEFA,1958,qualified,,Third place,6,5,0,1,23,15,8,10,No,0,3,1800,N/A,Just Fontaine 13 goals
West Germany,UEFA,1958,qualified,,Fourth place,6,4,0,2,12,14,-2,8,No,1,2,1900,N/A,
Argentina,CONMEBOL,1958,qualified,,Group stage,3,1,0,2,5,10,-5,2,No,0,1,1830,N/A,
Uruguay,CONMEBOL,1958,qualified,,Group stage,3,1,0,2,4,7,-3,2,No,2,3,1890,N/A,
Brazil,CONMEBOL,1962,qualified,,Winner,6,5,1,0,14,5,9,11,No,1,8,1980,N/A,Pelé injured but Brazil still dominated
Czechoslovakia,UEFA,1962,qualified,,Runner-up,6,3,1,2,8,7,1,7,No,0,5,1790,N/A,
Chile,CONMEBOL,1962,qualified,,Third place,6,4,1,1,10,8,2,9,Yes,0,2,1780,N/A,
Yugoslavia,UEFA,1962,qualified,,Fourth place,6,4,1,1,15,10,5,9,No,0,5,1800,N/A,
Hungary,UEFA,1962,qualified,,Quarter-finals,4,3,0,1,10,7,3,6,No,0,7,1870,N/A,
West Germany,UEFA,1962,qualified,,Quarter-finals,4,2,1,1,6,7,-1,5,No,1,3,1920,N/A,
England,UEFA,1962,qualified,,Quarter-finals,4,1,3,0,4,3,1,5,No,0,3,1860,N/A,
Soviet Union,UEFA,1962,qualified,,Quarter-finals,4,2,1,1,8,5,3,5,No,0,2,1870,N/A,
England,UEFA,1966,qualified,,Winner,6,5,1,0,11,3,8,11,Yes,0,4,1940,N/A,Only WC title; Geoff Hurst hat-trick
West Germany,UEFA,1966,qualified,,Runner-up,6,4,1,1,16,10,6,9,No,1,4,1940,N/A,
Portugal,UEFA,1966,qualified,,Third place,6,5,0,1,17,8,9,10,No,0,1,1850,N/A,Eusébio 9 goals
Soviet Union,UEFA,1966,qualified,,Fourth place,6,4,1,1,11,6,5,9,No,0,3,1900,N/A,
Uruguay,CONMEBOL,1966,qualified,,Quarter-finals,4,2,1,1,5,6,-1,5,No,2,4,1890,N/A,
Hungary,UEFA,1966,qualified,,Quarter-finals,4,2,0,2,10,8,2,4,No,0,8,1870,N/A,
Brazil,CONMEBOL,1966,qualified,,Group stage,3,1,0,2,4,6,-2,2,No,2,9,1980,N/A,Defending champions; shocking exit
Argentina,CONMEBOL,1966,qualified,,Quarter-finals,4,2,1,1,7,4,3,5,No,0,2,1860,N/A,
Brazil,CONMEBOL,1970,qualified,,Winner,6,6,0,0,19,7,12,12,No,2,10,2000,N/A,Greatest ever WC team; Pelé/Jairzinho/Tostão
Italy,UEFA,1970,qualified,,Runner-up,6,3,2,1,10,8,2,8,No,1,2,1940,N/A,
West Germany,UEFA,1970,qualified,,Third place,6,4,1,1,18,15,3,9,No,1,5,1950,N/A,Epic semi 3-4 vs Italy
Uruguay,CONMEBOL,1970,qualified,,Fourth place,6,3,1,2,8,9,-1,7,No,2,5,1890,N/A,
Soviet Union,UEFA,1970,qualified,,Quarter-finals,4,2,1,1,6,4,2,5,No,0,4,1900,N/A,
Mexico,CONCACAF,1970,qualified,,Quarter-finals,4,2,1,1,6,5,1,5,Yes,0,3,1700,N/A,Quarter-finals as hosts
England,UEFA,1970,qualified,,Quarter-finals,4,2,1,1,4,4,0,5,No,1,5,1940,N/A,Defending champs; Banks save
Peru,CONMEBOL,1970,qualified,,Quarter-finals,4,2,1,1,9,9,0,5,No,0,1,1750,N/A,
West Germany,UEFA,1974,qualified,,Winner,7,6,0,1,13,4,9,12,Yes,1,6,1970,N/A,Franz Beckenbauer lifted trophy at home
Netherlands,UEFA,1974,qualified,,Runner-up,7,5,1,1,15,5,10,11,No,0,1,1940,N/A,Total Football; Cruyff masterclass
Poland,UEFA,1974,qualified,,Third place,7,6,1,0,16,5,11,13,No,0,2,1870,N/A,Lato 7 goals
Brazil,CONMEBOL,1974,qualified,,Fourth place,7,3,4,0,6,4,2,10,No,3,11,1980,N/A,
Sweden,UEFA,1974,qualified,,Round of 16,4,1,3,0,4,4,0,5,No,0,8,1800,N/A,
Yugoslavia,UEFA,1974,qualified,,Round of 16,4,1,3,0,5,5,0,5,No,0,7,1800,N/A,
East Germany,UEFA,1974,qualified,,Round of 16,4,2,1,1,6,5,1,5,No,0,1,1830,N/A,Famous 1-0 win over West Germany
Argentina,CONMEBOL,1974,qualified,,Round of 16,4,2,1,1,7,6,1,5,No,0,3,1890,N/A,
Argentina,CONMEBOL,1978,qualified,,Winner,7,5,1,1,15,4,11,11,Yes,0,4,1960,N/A,Won on home soil; Kempes 6 goals
Netherlands,UEFA,1978,qualified,,Runner-up,7,5,1,1,15,7,8,11,No,0,2,1950,N/A,Final without Cruyff
Brazil,CONMEBOL,1978,qualified,,Third place,7,4,3,0,17,3,14,11,No,3,12,1990,N/A,Unbeaten but 3rd
Italy,UEFA,1978,qualified,,Fourth place,7,4,2,1,9,4,5,10,No,1,3,1950,N/A,
West Germany,UEFA,1978,qualified,,Round of 16,4,1,2,1,6,5,1,4,No,2,7,1950,N/A,
Poland,UEFA,1978,qualified,,Round of 16,4,2,1,1,4,5,-1,5,No,0,3,1870,N/A,
Peru,CONMEBOL,1978,qualified,,Round of 16,4,2,0,2,7,5,2,4,No,0,2,1760,N/A,Infamous 6-0 to Argentina
Scotland,UEFA,1978,qualified,,Group stage,3,1,1,1,5,6,-1,3,No,0,3,1810,N/A,Archie Gemmill's wonder goal
Italy,UEFA,1982,qualified,,Winner,7,4,3,0,12,6,6,11,No,1,4,1970,N/A,Paolo Rossi 6 goals; beat Brazil 3-2
West Germany,UEFA,1982,qualified,,Runner-up,7,4,2,1,12,11,1,10,No,2,8,1960,N/A,
Poland,UEFA,1982,qualified,,Third place,7,3,3,1,13,6,7,9,No,0,4,1880,N/A,
France,UEFA,1982,qualified,,Fourth place,7,4,1,2,12,11,1,9,No,0,4,1900,N/A,Platini era begins
Brazil,CONMEBOL,1982,qualified,,Round of 16,4,3,1,0,10,2,8,7,No,3,13,2000,N/A,Most entertaining WC team; lost to Italy
England,UEFA,1982,qualified,,Round of 16,5,3,2,0,6,1,5,8,No,1,6,1900,N/A,
Argentina,CONMEBOL,1982,qualified,,Round of 16,4,2,0,2,6,5,1,4,No,1,5,1920,N/A,Maradona still young
Spain,UEFA,1982,qualified,,Round of 16,5,1,4,0,4,3,1,6,Yes,0,3,1890,N/A,
Northern Ireland,UEFA,1982,qualified,,Round of 16,4,2,1,1,5,6,-1,5,No,0,1,1750,N/A,Notable upset of hosts Spain
Argentina,CONMEBOL,1986,qualified,,Winner,7,6,0,1,14,5,9,12,No,1,6,1970,N/A,Maradona's tournament; Hand of God + Goal of the Century
West Germany,UEFA,1986,qualified,,Runner-up,7,5,1,1,15,13,2,11,No,2,9,1950,N/A,
France,UEFA,1986,qualified,,Third place,7,5,0,2,12,8,4,10,No,0,5,1920,N/A,Platini 3 goals
Belgium,UEFA,1986,qualified,,Fourth place,7,4,1,2,11,10,1,9,No,0,3,1840,N/A,
Mexico,CONCACAF,1986,qualified,,Quarter-finals,5,3,2,0,8,4,4,8,Yes,0,4,1720,N/A,Hosts reached QF
Spain,UEFA,1986,qualified,,Quarter-finals,5,2,2,1,8,7,1,6,No,0,4,1880,N/A,
England,UEFA,1986,qualified,,Quarter-finals,5,2,1,2,7,6,1,5,No,1,7,1880,N/A,Lost to Hand of God
Brazil,CONMEBOL,1986,qualified,,Quarter-finals,5,4,0,1,10,5,5,8,No,3,14,1990,N/A,
West Germany,UEFA,1990,qualified,,Winner,7,5,2,0,15,8,7,12,No,2,10,1970,N/A,Reunified Germany beat Argentina in poor final
Argentina,CONMEBOL,1990,qualified,,Runner-up,7,2,4,1,5,4,1,8,No,2,7,1950,N/A,Negative tactics; Goycochea heroics in goal
Italy,UEFA,1990,qualified,,Third place,7,5,2,0,10,2,8,12,Yes,2,5,1960,N/A,Schillaci 6 goals
England,UEFA,1990,qualified,,Fourth place,7,3,3,1,8,6,2,9,No,1,8,1910,N/A,Gazza's tears; semi-final heartbreak
Czech Republic,UEFA,1990,qualified,,Quarter-finals,4,2,1,1,6,4,2,5,No,0,6,1840,N/A,As Czechoslovakia
Yugoslavia,UEFA,1990,qualified,,Quarter-finals,4,2,2,0,8,6,2,6,No,0,10,1860,N/A,Savicevic/Prosinecki; last as Yugoslavia
Rep of Ireland,UEFA,1990,qualified,,Quarter-finals,5,0,5,0,2,2,0,5,No,0,1,1790,N/A,Jack Charlton's Italy-beaters
Cameroon,CAF,1990,qualified,,Quarter-finals,5,3,0,2,5,5,0,6,No,0,2,1720,N/A,Roger Milla; first African QF
Brazil,CONMEBOL,1994,qualified,,Winner,7,5,2,0,11,3,8,12,No,3,15,2000,N/A,Romario/Bebeto; won on penalties vs Italy
Italy,UEFA,1994,qualified,,Runner-up,7,4,3,0,8,4,4,11,Yes,2,6,1940,N/A,Roberto Baggio's missed penalty
Sweden,UEFA,1994,qualified,,Third place,7,4,2,1,15,11,4,10,No,0,9,1850,N/A,Kennet Andersson/Brolin
Bulgaria,UEFA,1994,qualified,,Fourth place,7,3,2,2,10,9,1,8,No,0,3,1800,N/A,Stoichkov 6 goals
Germany,UEFA,1994,qualified,,Quarter-finals,5,3,1,1,9,7,2,7,No,3,11,1960,N/A,Reunified Germany
Netherlands,UEFA,1994,qualified,,Quarter-finals,5,3,1,1,12,7,5,7,No,0,4,1920,N/A,Bergkamp/Overmars
Spain,UEFA,1994,qualified,,Quarter-finals,5,3,1,1,8,8,0,7,No,0,5,1910,N/A,
Romania,UEFA,1994,qualified,,Quarter-finals,5,3,1,1,11,9,2,7,No,0,2,1820,N/A,Hagi masterclass
France,UEFA,1998,qualified,,Winner,7,6,1,0,15,2,13,13,Yes,0,6,1970,N/A,First title; Zidane headed goals in final
Brazil,CONMEBOL,1998,qualified,,Runner-up,7,4,1,2,14,10,4,9,No,4,16,2010,N/A,Ronaldo mystery before final
Croatia,UEFA,1998,qualified,,Third place,6,4,1,1,12,9,3,9,No,0,1,1850,N/A,First WC; Šuker 6 goals
Netherlands,UEFA,1998,qualified,,Fourth place,6,4,1,1,13,7,6,9,No,0,5,1940,N/A,Dennis Bergkamp goal vs Argentina
Germany,UEFA,1998,qualified,,Quarter-finals,5,3,1,1,8,7,1,7,No,3,12,1960,N/A,
Italy,UEFA,1998,qualified,,Quarter-finals,5,3,1,1,8,4,4,7,No,3,7,1940,N/A,
Argentina,CONMEBOL,1998,qualified,,Quarter-finals,5,3,1,1,10,7,3,7,No,2,8,1950,N/A,Batistuta/Ortega; Beckham sent off
England,UEFA,1998,qualified,,Round of 16,4,2,0,2,7,7,0,6,No,1,9,1900,N/A,Sol Campbell disallowed goal
Brazil,CONMEBOL,2002,qualified,,Winner,7,7,0,0,18,4,14,14,No,4,17,2050,N/A,Ronaldo 8 goals; redeemed from 1998
Germany,UEFA,2002,qualified,,Runner-up,7,5,1,1,14,9,5,11,No,3,13,1940,N/A,Kahn best goalkeeper; Oliver Kahn heroics
Turkey,UEFA,2002,qualified,,Third place,7,5,1,1,15,10,5,11,No,0,1,1850,N/A,Incredible debut tournament
South Korea,AFC,2002,qualified,,Fourth place,7,3,2,2,8,6,2,8,Yes,0,5,1780,N/A,Co-hosts; stunned Italy and Spain
Senegal,CAF,2002,qualified,,Quarter-finals,5,3,2,0,7,6,1,8,No,0,1,1680,N/A,Debut tournament; stunned France
Spain,UEFA,2002,qualified,,Quarter-finals,5,3,2,0,12,4,8,8,No,0,6,1920,N/A,Controversial exit vs South Korea
England,UEFA,2002,qualified,,Quarter-finals,5,3,1,1,9,6,3,7,No,1,10,1900,N/A,
United States,CONCACAF,2002,qualified,,Quarter-finals,5,2,1,2,8,8,0,7,No,0,2,1760,N/A,
Italy,UEFA,2006,qualified,,Winner,7,5,2,0,12,2,10,12,No,3,8,1970,N/A,Zidane headbutt; Buffon golden gloves
France,UEFA,2006,qualified,,Runner-up,7,5,1,1,9,3,6,11,No,1,7,1960,N/A,Zidane headbutt on Materazzi
Germany,UEFA,2006,qualified,,Third place,7,5,1,1,14,6,8,11,Yes,3,14,1960,N/A,Klose 5 goals
Portugal,UEFA,2006,qualified,,Fourth place,7,5,1,1,14,5,9,11,No,0,2,1920,N/A,Figo/Ronaldo; Pauleta 3 goals
Argentina,CONMEBOL,2006,qualified,,Quarter-finals,5,4,1,0,11,3,8,9,No,2,9,1960,N/A,
England,UEFA,2006,qualified,,Quarter-finals,5,3,2,0,6,2,4,8,No,1,11,1910,N/A,Rooney red card
Brazil,CONMEBOL,2006,qualified,,Quarter-finals,5,3,1,1,10,6,4,7,No,5,18,2030,N/A,Ronaldinho era
Ukraine,UEFA,2006,qualified,,Quarter-finals,5,3,0,2,9,9,0,6,No,0,1,1810,N/A,First WC; Shevchenko
South Korea,AFC,2006,qualified,,Round of 16,4,1,1,2,3,5,-2,4,No,0,6,1780,N/A,
Ecuador,CONMEBOL,2006,qualified,,Round of 16,4,2,0,2,5,6,-1,6,No,0,1,1720,N/A,
Spain,UEFA,2010,qualified,,Winner,7,6,1,0,8,2,6,13,No,0,7,1980,N/A,First title; Iniesta extra-time winner
Netherlands,UEFA,2010,qualified,,Runner-up,7,5,1,1,12,6,6,11,No,0,7,1960,N/A,Van Bommel/De Jong rough tactics in final
Germany,UEFA,2010,qualified,,Third place,7,5,0,2,16,10,6,10,No,3,15,1960,N/A,Müller 5 goals; 7-0 rout of Australia
Uruguay,CONMEBOL,2010,qualified,,Fourth place,7,4,1,2,11,12,-1,9,No,2,6,1890,N/A,Suárez handball; Forlán Golden Ball
Argentina,CONMEBOL,2010,qualified,,Quarter-finals,5,4,0,1,14,5,9,8,No,2,10,1960,N/A,Maradona coach; lost to Germany 4-0
Brazil,CONMEBOL,2010,qualified,,Quarter-finals,5,4,1,0,9,4,5,9,No,5,19,2040,N/A,Kaká suspended
Ghana,CAF,2010,qualified,,Quarter-finals,5,2,2,1,5,5,0,6,No,0,2,1720,N/A,Suárez handball denied them semi-final
Paraguay,CONMEBOL,2010,qualified,,Quarter-finals,5,1,4,0,3,4,-1,7,No,0,2,1770,N/A,Villar goalkeeper heroics
Japan,AFC,2010,qualified,,Round of 16,4,2,1,1,4,2,2,5,No,0,4,1760,N/A,Best domestic performance before 2022
United States,CONCACAF,2010,qualified,,Round of 16,4,1,2,1,5,5,0,5,No,0,3,1770,N/A,Donovan era
South Korea,AFC,2010,qualified,,Round of 16,4,1,2,1,5,6,-1,5,No,0,7,1770,N/A,
Mexico,CONCACAF,2010,qualified,,Round of 16,4,1,1,2,4,5,-1,4,No,0,5,1750,N/A,
Australia,AFC,2010,qualified,,Group stage,3,1,0,2,3,6,-3,3,No,0,2,1690,N/A,
Ivory Coast,CAF,2010,qualified,,Group stage,3,0,1,2,4,6,-2,1,No,0,2,1720,N/A,Drogba/Toure; unlucky draw with Brazil
Germany,UEFA,2014,qualified,,Winner,7,6,1,0,18,4,14,13,No,3,16,1990,N/A,7-1 vs Brazil; Götze winner in AET
Argentina,CONMEBOL,2014,qualified,,Runner-up,7,4,2,1,8,6,2,10,No,2,11,1960,N/A,Messi Golden Ball but no title
Netherlands,UEFA,2014,qualified,,Third place,7,5,1,1,15,4,11,11,No,0,8,1960,N/A,Van Persie flying header vs Spain
Brazil,CONMEBOL,2014,qualified,,Fourth place,7,3,1,3,11,14,-3,7,Yes,5,20,2020,N/A,7-1 semifinal humiliation
Colombia,CONMEBOL,2014,qualified,,Quarter-finals,5,4,0,1,12,4,8,8,No,0,1,1860,N/A,James Rodríguez 6 goals; best ever
France,UEFA,2014,qualified,,Quarter-finals,5,3,1,1,10,3,7,7,No,1,8,1960,N/A,
Costa Rica,CONCACAF,2014,qualified,,Quarter-finals,5,2,3,0,5,3,2,7,No,0,2,1750,N/A,Greatest ever Costa Rica performance
Belgium,UEFA,2014,qualified,,Quarter-finals,5,3,0,2,7,6,1,6,No,0,4,1880,N/A,
Chile,CONMEBOL,2014,qualified,,Round of 16,4,2,0,2,6,7,-1,6,No,0,3,1830,N/A,Vargas/Sánchez; beat Spain
Mexico,CONCACAF,2014,qualified,,Round of 16,4,1,2,1,5,5,0,5,No,0,6,1780,N/A,
United States,CONCACAF,2014,qualified,,Round of 16,4,1,1,2,5,6,-1,4,No,0,4,1780,N/A,
Japan,AFC,2014,qualified,,Group stage,3,0,1,2,2,4,-2,1,No,0,5,1770,N/A,
France,UEFA,2018,qualified,,Winner,7,6,1,0,14,6,8,13,No,1,9,1980,N/A,Mbappé 4 goals; youngest squad to win
Croatia,UEFA,2018,qualified,,Runner-up,7,5,0,2,14,13,1,10,No,0,2,1880,N/A,Modrić Golden Ball
Belgium,UEFA,2018,qualified,,Third place,7,6,0,1,16,6,10,12,No,0,5,1920,N/A,Best WC performance; Hazard/De Bruyne
England,UEFA,2018,qualified,,Fourth place,7,4,1,2,12,9,3,9,No,1,12,1900,N/A,Kane 6 goals; semi-final penalty exit
Brazil,CONMEBOL,2018,qualified,,Quarter-finals,6,3,2,1,8,4,4,8,No,5,21,2030,N/A,Neymar era; lost to Belgium
Uruguay,CONMEBOL,2018,qualified,,Quarter-finals,5,4,0,1,7,3,4,8,No,2,7,1890,N/A,Cavani 2 goals vs Portugal
Russia,UEFA,2018,qualified,,Quarter-finals,4,2,1,1,7,7,0,7,Yes,0,1,1720,N/A,Hosts QF; Akinfeev penalties
Sweden,UEFA,2018,qualified,,Quarter-finals,5,3,1,1,6,3,3,7,No,0,13,1840,N/A,Won group with Germany; Berg/Forsberg
Argentina,CONMEBOL,2022,qualified,,Winner,7,5,2,0,15,8,7,12,No,2,12,1980,N/A,Messi lifts trophy; greatest WC final ever
France,CONMEBOL,2022,qualified,,Runner-up,7,4,1,2,16,14,2,9,No,2,10,1980,N/A,Mbappé hat-trick in final; lost on pens
Croatia,UEFA,2022,qualified,,Third place,7,3,3,1,10,8,2,9,No,0,3,1890,N/A,Modrić inspired; beat Brazil and Argentina
Morocco,CAF,2022,qualified,,Fourth place,7,4,3,0,6,4,2,9,No,0,1,1830,N/A,First African semi-finalists in history
Netherlands,UEFA,2022,qualified,,Quarter-finals,6,4,2,0,9,6,3,10,No,0,9,1940,N/A,Van Dijk led; lost to Argentina on pens
England,UEFA,2022,qualified,,Quarter-finals,5,4,0,1,13,4,9,8,No,1,13,1930,N/A,Bellingham/Saka/Foden; lost to France
Brazil,CONMEBOL,2022,qualified,,Quarter-finals,5,3,1,1,8,3,5,7,No,5,22,2030,N/A,Neymar 2 goals; lost to Croatia on pens
Portugal,UEFA,2022,qualified,,Quarter-finals,5,4,0,1,12,6,6,8,No,0,3,1920,N/A,Ronaldo controversy; lost to Morocco
